experiment_family,run_or_scope,dataset,phase,method,output_path,status,evidence_label,manifest_or_summary,recorded_code_commit,primary_metric,artifact_provenance_notes
ov_probe,run_20260812_001_to_003,LoveDA,stage0,legacy prototype and text probes,<LOCAL_OUTPUTS>/ov_probe_v0/,completed,diagnostic,summary_metrics.json,01c8119,unknown,Multiple persisted run folders; exact per-run commit unknown.
region_probe,run_20260812_001_to_005,LoveDA,formal region diagnostic,native region probe,<LOCAL_OUTPUTS>/region_probe_v0/,completed,formal diagnostic,summary_metrics.json,ec1a661,agreement metrics,Formal server mirror also preserved in dated artifact.
openai_clip_region_probe,run_20260814_001,LoveDA,architecture diagnostic,OpenAI CLIP text-region diagnostic,<SERVER_OUTPUTS>/openai_clip_region_probe_v1/,completed,diagnostic,summary.json,715cb5c,macro agreement 0.4313,All-6000 baseline predates later holdout.
openai_clip_feature_cache,run_20260814_001,LoveDA,feature preparation,OpenAI CLIP region features,<SERVER_OUTPUTS>/openai_clip_feature_cache_v1/,completed,non-evaluative,manifest.json,2cd41e6,none,Feature cache only; no decision metric.
openai_clip_visual_anchor,run_20260814_001,LoveDA,visual-anchor exploration,text plus weak-label visual prototype,<SERVER_OUTPUTS>/openai_clip_visual_anchor_exploratory_v1/,completed,exploratory_post_hoc,manifest.json,2302ca4,SAM3 agreement heldout 0.593,Not blind because the all-6000 baseline existed first.
segearth_ov_audit,20260821,external-method audit,feasibility/fairness,SegEarth-OV,none,completed,no_go_audit,reports/segearth_ov_feasibility_audit_20260821.md,35155e8,NO-GO,Official source available but current controlled/partial-support protocol incompatible; no clone/download/inference performed.
voc_data_manifest,run_20260814_002,VOC2012,data preparation,quarantined image inventory,<SERVER_OUTPUTS>/voc2012_data_manifest_v1/,completed,non-evaluative,manifest.json,5e9e088,1449 validation image IDs,Labels isolated during preparation.
voc_zeroshot,run_20260815_001,VOC2012,image-level inference,OpenAI CLIP 20-class zero-shot cache,<SERVER_OUTPUTS>/voc2012_openai_clip_zeroshot_v1/,completed,prediction_frozen,manifest.json,4afe7b0,score matrix 1449x20,No GT read during cache generation.
voc_presence_eval,run_20260815_001,VOC2012,image-level evaluation,20-class presence AP/mAP,<LOCAL_OUTPUTS>/voc2012_openai_clip_presence_eval_v1/,completed,image_level_only,metrics.json,51ec149,mAP,Not segmentation mIoU.
loveda_blind_gt,run_20260818_001,LoveDA,GT-isolated evaluation,text visual and calibration variants,<LOCAL_OUTPUTS>/loveda_blind_gt_v0/,completed,mixed_development_and_blind,manifest.json,6d90a93,Delta Macro F1 +0.1755,P0 prediction/GT ordering is documented; later analyses are development evidence.
loveda_partial_support,all_64_subsets,LoveDA,ablation,SCC CTP Guard and text,<LOCAL_OUTPUTS>/loveda_blind_gt_v0/,completed,development,partial_support_checks.json,f5d7d91,H-IoU and H-F1,Partial-support subset exhaustive analysis.
scc_freeze,v1,LoveDA_and_Vaihingen,method freeze,score-competition calibration,<LOCAL_OUTPUTS>/vaihingen_blind_scc_v1/,completed,frozen_method,manifest.json,8151c2a,unknown,Freeze record is the authoritative decision artifact.
vaihingen_blind_scc,v1,Vaihingen,external confirmation,SCC and CTP from frozen scores,<LOCAL_OUTPUTS>/vaihingen_blind_scc_v1/,completed,untouched_external_confirmation,evaluate_manifest.json,056059a,H-F1 and H-IoU,Prediction hashes precede GT evaluation per report.
pixel_ovss,main_v0,LoveDA_and_Vaihingen,pixel-level semantic maps,FusionCanvas with text C2 SCC CTP Guard,<LOCAL_OUTPUTS>/pixel_ovss_loveda_v0/; <LOCAL_OUTPUTS>/pixel_ovss_vaihingen_v0/,completed,controlled_evaluation,manifest.json,4ad33c8,OA Macro-F1 mIoU,Pixel metrics are distinct from region metrics.
pixel_score_scale_ablation,v0,Vaihingen,ablation,raw normalized and centered scores,<LOCAL_OUTPUTS>/pixel_score_scale_ablation_v0/,completed,development,manifest.json,f545cb3,mIoU,Explains score-scale effect.
vaihingen_partial_support,v0,Vaihingen,ablation,partial-support pixel CTP,<LOCAL_OUTPUTS>/vaihingen_pixel_partial_support_v0/,completed,controlled_evaluation,manifest.json,f545cb3,H-IoU,Subset manifest preserved.
potsdam_ctp,v1,Potsdam,external confirmation,CTP full and partial support,<LOCAL_OUTPUTS>/potsdam_ctp_v1_v0/; <LOCAL_OUTPUTS>/potsdam_ctp_v1_partial_v0/,completed,GT_isolated_protocol,manifest.json,2704f99,OA Macro-F1 mIoU,Prediction lock and untouched audit recorded.
final_audits,phase_A_to_D,LoveDA_Vaihingen_Potsdam,review-defense audit,common-pixel cluster-bootstrap Guard qualitative,<LOCAL_OUTPUTS>/final_audit/,completed,post_evaluation_audit,report set,ab64c0c,H-IoU trade-off,Correct cluster unit and negative findings retained.
